SalesOrderID,SalesOrderDetailID,CarrierTrackingNumber,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal,OrderDate
43661,16,4E0A-4F89-AE,1,743,1,714.7043,0.00,714.704300,2011-05-31 00:00:00.000
43661,17,4E0A-4F89-AE,2,747,1,714.7043,0.00,1429.408600,2011-05-31 00:00:00.000
43661,20,4E0A-4F89-AE,2,742,1,722.5949,0.00,1445.189800,2011-05-31 00:00:00.000
43662,44,2E53-4802-85,3,722,1,178.5808,0.00,535.742400,2011-05-31 00:00:00.000
43662,49,2E53-4802-85,1,738,1,178.5808,0.00,178.580800,2011-05-31 00:00:00.000
43668,104,365D-4C9A-BE,3,738,1,178.5808,0.00,535.742400,2011-05-31 00:00:00.000
43668,106,365D-4C9A-BE,3,722,1,178.5808,0.00,535.742400,2011-05-31 00:00:00.000
43669,110,B65C-4867-86,1,747,1,714.7043,0.00,714.704300,2011-05-31 00:00:00.000
43673,134,260F-4DCF-A1,2,738,1,178.5808,0.00,357.161600,2011-05-31 00:00:00.000
43675,143,5069-4470-BE,2,738,1,178.5808,0.00,357.161600,2011-05-31 00:00:00.000
43678,168,FBD8-4CE4-8B,2,738,1,-178.5808,0.00,-357.161600,2011-05-31 00:00:00.000
43680,191,FF1F-4DD0-98,NULL,738,1,178.5808,0.00,0.000000,2012-05-31 00:00:00.000
43681,215,6D51-449D-B3,0,738,1,178.5808,0.00,0.000000,2012-05-31 00:00:00.000
43688,261,16F4-456B-9A,1,738,1,178.5808,0.00,178.580800,2011-05-31 00:00:00.000
43689,270,DCD9-4C9A-AB,2,738,1,178.5808,0.00,357.161600,2011-05-31 00:00:00.000
43689,278,DCD9-4C9A-AB,1,722,1,178.5808,0.00,178.580800,2011-05-31 00:00:00.000
43692,302,BFA9-470E-B4,2,738,1,178.5808,0.00,357.161600,2011-05-31 00:00:00.000
43692,316,BFA9-470E-B4,1,722,1,178.5808,0.00,178.580800,2011-05-31 00:00:00.000
43695,345,A89C-4D25-B9,2,748,1,722.5949,0.00,1445.189800,2011-05-31 00:00:00.000
43695,346,A89C-4D25-B9,1,747,1,714.7043,0.00,714.704300,2011-05-31 00:00:00.000
43695,347,A89C-4D25-B9,1,742,1,722.5949,0.00,722.594900,2011-05-31 00:00:00.000
43843,501,AEB6-4356-80,2,742,1,722.5949,0.00,1445.189800,2011-07-01 00:00:00.000
43843,503,AEB6-4356-80,2,748,1,722.5949,0.00,1445.189800,2011-07-01 00:00:00.000
43846,525,A787-4CD2-A0,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43850,556,EBA6-4C6F-86,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43851,564,56EA-48EB-96,3,738,1,178.5808,0.00,535.742400,2011-07-01 00:00:00.000
43855,581,FB88-4B92-82,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43857,602,0CD4-4091-9B,2,738,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43858,610,8FFA-4339-B7,2,738,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43858,613,8FFA-4339-B7,1,722,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43860,629,E57D-4B4B-BF,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43861,658,0CC0-4166-9E,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43861,660,0CC0-4166-9E,2,722,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43862,666,68A2-4B5C-A7,2,747,1,714.7043,0.00,1429.408600,2011-07-01 00:00:00.000
43862,667,68A2-4B5C-A7,2,748,1,722.5949,0.00,1445.189800,2011-07-01 00:00:00.000
43864,676,B5D8-4B03-96,1,747,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43864,680,B5D8-4B03-96,1,748,1,722.5949,0.00,722.594900,2011-07-01 00:00:00.000
43865,693,071C-4913-89,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43867,713,061F-4449-BE,2,743,1,714.7043,0.00,1429.408600,2011-07-01 00:00:00.000
43867,714,061F-4449-BE,1,748,1,722.5949,0.00,722.594900,2011-07-01 00:00:00.000
43867,715,061F-4449-BE,3,742,1,722.5949,0.00,2167.784700,2011-07-01 00:00:00.000
43869,720,96FA-4DF1-81,1,747,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43869,726,96FA-4DF1-81,1,743,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43869,729,96FA-4DF1-81,2,742,1,722.5949,0.00,1445.189800,2011-07-01 00:00:00.000
43872,758,52FF-45CD-9B,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43873,771,494C-48D2-BD,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43873,773,494C-48D2-BD,3,722,1,178.5808,0.00,535.742400,2011-07-01 00:00:00.000
43875,795,CE1F-4E31-89,2,747,1,714.7043,0.00,1429.408600,2011-07-01 00:00:00.000
43875,802,CE1F-4E31-89,5,748,1,722.5949,0.00,3612.974500,2011-07-01 00:00:00.000
43875,808,CE1F-4E31-89,2,743,1,714.7043,0.00,1429.408600,2011-07-01 00:00:00.000
43875,813,CE1F-4E31-89,3,742,1,722.5949,0.00,2167.784700,2011-07-01 00:00:00.000
43879,854,EDC5-4BD5-8F,3,738,1,178.5808,0.00,535.742400,2011-07-01 00:00:00.000
43879,858,EDC5-4BD5-8F,5,722,1,178.5808,0.00,892.904000,2011-07-01 00:00:00.000
43880,866,3269-4442-87,1,738,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43883,890,E43E-40BF-9B,1,722,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43883,892,E43E-40BF-9B,3,738,1,178.5808,0.00,535.742400,2011-07-01 00:00:00.000
43884,900,728A-44AB-A8,3,747,1,714.7043,0.00,2144.112900,2011-07-01 00:00:00.000
43884,911,728A-44AB-A8,1,748,1,722.5949,0.00,722.594900,2011-07-01 00:00:00.000
43884,915,728A-44AB-A8,3,743,1,714.7043,0.00,2144.112900,2011-07-01 00:00:00.000
43884,920,728A-44AB-A8,1,742,1,722.5949,0.00,722.594900,2011-07-01 00:00:00.000
43886,939,CE58-49B5-82,1,722,1,178.5808,0.00,178.580800,2011-07-01 00:00:00.000
43888,948,7AED-4154-93,2,738,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43890,966,6787-4174-98,3,742,1,722.5949,0.00,2167.784700,2011-07-01 00:00:00.000
43890,969,6787-4174-98,1,748,1,722.5949,0.00,722.594900,2011-07-01 00:00:00.000
43890,970,6787-4174-98,1,747,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43895,1007,5233-4CB8-BC,2,748,1,722.5949,0.00,1445.189800,2011-07-01 00:00:00.000
43895,1010,5233-4CB8-BC,1,747,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43895,1011,5233-4CB8-BC,1,743,1,714.7043,0.00,714.704300,2011-07-01 00:00:00.000
43898,1059,420C-4ECE-85,2,738,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43898,1063,420C-4ECE-85,5,722,1,178.5808,0.00,892.904000,2011-07-01 00:00:00.000
43899,1070,79F2-434F-97,2,738,1,178.5808,0.00,357.161600,2011-07-01 00:00:00.000
43902,1103,E3ED-44B5-B2,5,748,1,722.5949,0.00,3612.974500,2011-07-01 00:00:00.000
