Month,ProductCategoryID,OrderQty
2011-04,1.0,4.0
2011-12,2.0,4950.0
2012-01,2.0,8250.0
2012-01,4.0,4950.0
2012-02,1.0,3.0
2012-02,2.0,610.0
2012-02,4.0,2200.0
2012-03,2.0,11000.0
2012-04,2.0,1160.0
2012-04,4.0,4950.0
2012-05,1.0,3.0
2012-05,2.0,550.0
2012-05,4.0,2200.0
2012-06,2.0,9900.0
2012-07,2.0,2200.0
2012-08,2.0,1160.0
2012-08,4.0,7700.0
2012-09,1.0,3.0
2012-09,2.0,2200.0
2012-10,2.0,6050.0
2013-02,2.0,2200.0
2013-04,1.0,3.0
2013-04,2.0,6660.0
2013-04,4.0,6050.0
2013-05,2.0,8310.0
2013-05,4.0,7700.0
2013-06,1.0,3.0
2013-07,2.0,1650.0
2013-08,1.0,12.0
2013-08,2.0,48700.0
2013-08,4.0,32450.0
2013-09,1.0,9.0
2013-09,2.0,39720.0
2013-09,4.0,18150.0
2013-10,1.0,6.0
2013-10,2.0,15520.0
2013-10,4.0,15400.0
2013-11,1.0,6.0
2013-11,2.0,33670.0
2013-11,3.0,17200.0
2013-11,4.0,30800.0
2013-12,1.0,12.0
2013-12,2.0,43140.0
2013-12,4.0,30250.0
2014-01,1.0,9.0
2014-01,2.0,44730.0
2014-01,3.0,300.0
2014-01,4.0,23875.0
2014-02,1.0,12.0
2014-02,2.0,45890.0
2014-02,4.0,28950.0
2014-03,1.0,12.0
2014-03,2.0,46440.0
2014-03,3.0,20300.0
2014-03,4.0,33000.0
2014-04,1.0,12.0
2014-04,2.0,57440.0
2014-04,3.0,18300.0
2014-04,4.0,28600.0
2014-05,1.0,15.0
2014-05,2.0,52000.0
2014-05,3.0,1230.0
2014-05,4.0,41250.0
2014-06,1.0,12.0
2014-06,2.0,62390.0
2014-06,3.0,24000.0
2014-06,4.0,32200.0
2014-07,1.0,18.0
2014-07,2.0,65810.0
2014-07,4.0,46750.0
2014-08,2.0,9350.0
2014-08,4.0,3850.0
2014-09,1.0,20.72485604343824
2014-09,2.0,22402.43894977217
2014-09,3.0,16416.42514719723
2014-09,4.0,25883.510145461223
