Month,ProductCategoryID,OrderQty
2011-04,1.0,4
2011-12,2.0,4950
2012-01,2.0,8250
2012-01,4.0,4950
2012-02,1.0,3
2012-02,2.0,610
2012-02,4.0,2200
2012-03,2.0,11000
2012-04,2.0,1160
2012-04,4.0,4950
2012-05,1.0,3
2012-05,2.0,550
2012-05,4.0,2200
2012-06,2.0,9900
2012-07,2.0,2200
2012-08,2.0,1160
2012-08,4.0,7700
2012-09,1.0,3
2012-09,2.0,2200
2012-10,2.0,6050
2013-02,2.0,2200
2013-04,1.0,3
2013-04,2.0,6660
2013-04,4.0,6050
2013-05,2.0,8310
2013-05,4.0,7700
2013-06,1.0,3
2013-07,2.0,1650
2013-08,1.0,12
2013-08,2.0,48700
2013-08,4.0,32450
2013-09,1.0,9
2013-09,2.0,39720
2013-09,4.0,18150
2013-10,1.0,6
2013-10,2.0,15520
2013-10,4.0,15400
2013-11,1.0,6
2013-11,2.0,33670
2013-11,3.0,17200
2013-11,4.0,30800
2013-12,1.0,12
2013-12,2.0,43140
2013-12,4.0,30250
2014-01,1.0,9
2014-01,2.0,44730
2014-01,3.0,300
2014-01,4.0,23875
2014-02,1.0,12
2014-02,2.0,45890
2014-02,4.0,28950
2014-03,1.0,12
2014-03,2.0,46440
2014-03,3.0,20300
2014-03,4.0,33000
2014-04,1.0,12
2014-04,2.0,57440
2014-04,3.0,18300
2014-04,4.0,28600
2014-05,1.0,15
2014-05,2.0,52000
2014-05,3.0,1230
2014-05,4.0,41250
2014-06,1.0,12
2014-06,2.0,62390
2014-06,3.0,24000
2014-06,4.0,32200
2014-07,1.0,18
2014-07,2.0,65810
2014-07,4.0,46750
2014-08,2.0,9350
2014-08,4.0,3850
